,2.12,2.13,2.14,2.15,2.16,2.17,2.18,2.19
Video platform,93,85,148,93,35,20,52,82
Wechat,141,108,64,92,57,100,47,24
Instagram,71,19,0,1,47,35,7,19
Baicizhan,0,31,5,17,5,3,53,19
Grubhub,0,10,2,0,0,0,0,17
Facebook,0,3,3,0,0,9,5,16
Google Maps,19,5,0,0,34,3,0,13
X,8,3,0,5,14,0,0,11
Gmail,14,12,4,4,10,2,5,2
text,0,7,0,0,0,0,0,0
Chatgpt,6,0,0,0,0,0,0,0
Turo,0,16,0,0,0,0,0,0
Telegram,0,0,6,0,0,11,0,26
